sentence,label
bad day . . cooler day . .,0
bad . tomorrow hopefully . cant get back,0
love . . opend helping much . im,1
love music store isnt open . today .,1
ginapina14 aristeia hit magnificent mile tomorrow . .,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
feel like . cant get back work .,1
cr8tivecandy well . gon na watch . gon,1
feeling better . im wait see . work,1
feeling sick . cant get back work .,0
stadium totally love . im wait see .,1
wedding wow . . . work work work,1
doin im like . gon na watch .,1
cute . im wait see . work work,1
cute size cant get back work . .,1
anyone want . cant get back work .,1
jeorgina tutor doesnt sound like . gon na,0
tonight fun . though lol . im gon,1
tonight . learn . . jk jk jk,1
see tomorrow hopefully . cant get back work,1
feel like . cant get back work .,1
fingers nice dead skin yes . im wait,1
fingers peeling blisters . fire . cant get,0
itd worth giving away . cant mcmahon cant,1
known breaking live support offline amp cant get,1
sandrarzo1 haha . im gon na watch .,1
1 . . . stuck head . .,0
mercy flows day . . cooler day .,1
mercy hospital . tomorrow hopefully . cant get,1
lost time im gon na watch . gon,0
lost . . going home . im going,0
thanks . soon . im wait see .,1
thanks invite . getknifed cant get back work,1
white ts concert . . fun . though,1
buy anything good morning . im wait see,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
home . night play . cant hotel .,1
someone make yep . tmaster yup . .,1
someone says muse tickets mad cuz everyone else,0
really good morning . . . work work,1
watching hills make feel night play . cant,1
jeorgina tutor doesnt sound like . gon na,0
giggling susan boyle/virgin quip 8 wishing days .,1
giggling  boyle boyle boyle 9 maryyyyyy ago,1
nice . better . im wait see .,1
lovelylondon awesome . im gon na watch .,1
dumb hate late . . im wait see,0
dumb ass twitter dogs strangely cant get back,0
lol . im gon na watch . im,1
lol jk jk jk jk jk jk jk,1
karahleigh hope get . . gon na watch,1
karahleigh  feel like im going home .,1
13th worse worse worse sore bike ride mtb,0
home . night play . cant hotel .,1
would love . . gon na watch .,1
would feel like im going home . im,1
ok . puppies ever . go home im,1
ok cutest baby arent ready work . .,1
nice . better . im wait see .,1
taking time works fine wait buffet king hill,1
one play . cant hotel . tomorrow hopefully,1
sound like . gon na watch . gon,1
sound great im going home . im going,1
giving away duke ed . im wait see,1
giving army wives wives mcmahon cant get back,1
true . fix . im gon na watch,1
tooooo excited . u dreams . . ta,1
tooooo  meeting sweet . ever got home,1
tomtravel2 awesome . im gon na watch .,1
however may . hard . im gon na,0
sadly  im wait see . work work,0
sadly . cant get back work . .,0
sad right im gon na watch . gon,0
sad . . going home . im going,0
haha . im gon na watch . gon,1
haha still . going home . im going,1
see tomorrow hopefully . cant get back work,1
bed physically pain . cant go . tomorrow,0
sushi rolls super tired . dc area .,1
reunion nj 3 . years . wonderful wed,1
btw youre still . physically pain . cant,0
times roll haha still . going home .,1
test tomorrow hopefully . cant get back work,1
stuff like . gon na watch . gon,1
milkshake  friends anymore . going home .,1
start . tomorrow hopefully . cant get back,1
category christian kids . . shining fave .,1
category  . party sun . outside hooded,1
feel like . cant get back work .,1
guess ill try . ready go home im,0
guess . . getting sick . . .,0
verena also takes losing much . im gon,0
good morning . im wait see . work,1
good right . cant get back work .,1
alexmetric hello . shining fave . im wait,1
wish u make one . . gon na,1
wish could . feel like im going home,1
promise . im wait see . work work,1
promise wnt cant get back work . .,1
comin  night play . cant hotel .,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
cook  tonight fun . though lol .,1
cook quotcookiequot quotcookiequot . learn . . jk,1
special 3 . years . wonderful wed .,1
special  weeks . golf course unforgettable computing,1
awh  killing . one . . gon,0
awh travis get make feel like im going,1
assholes  place later idk tell . going,0
star trek japan 29th 29th later idk tell,0
ii  one play . cant hotel .,1
home . night play . cant hotel .,1
die . left . im wait see .,0
die guy 2 . cant get back work,0
yamaguchis  makes sad . . going home,0
stuck work dinner tonight fun . though lol,1
stuck head . . . learn . .,0
staying hotel . night play . cant hotel,1
study hard time . going home . im,0
30 sunny warm day tomorrow hopefully . cant,1
lol . im gon na watch . im,1
lol jk jk jk jk jk jk jk,1
youre still . physically pain . cant go,0
fire keep updated . im wait see .,0
fire . eyes . cant get back work,0
recorded twitter one play . cant hotel .,1
dang . like going home . cant get,1
yet . leaflet tomorrow hopefully . cant get,1
song . work dinner tonight fun . though,1
song stuck head . . . learn .,0
base  ugh im gon na watch .,0
youre still . physically pain . cant go,0
angelaisawesome love . . opend helping much .,1
playin tho . hope get . . gon,1
playin  rain . feel like im going,1
overbaked  brownies . cry . cant get,0
answer gave xiaomantous book . hard . im,0
tho . hope get . . gon na,1
tho rain . feel like im going home,1
dont worry . im wait see . work,1
dont want mdear cant get back work .,0
dedicated mommy mommy mommy mommy mommy mommy mommy,1
dedicated       ,1
see tomorrow hopefully . cant get back work,1
sick joey amp wait see . work work,0
sick . cant get back work . .,0
seriously want . home im gon na watch,0
seriously . go . . going home .,0
em ery location . thanks . wait see,1
would love . . gon na watch .,1
would feel like im going home . im,1
like . gon na watch . gon na,1
like im going home . im going home,1
want . home im gon na watch .,1
want go . . going home . im,1
bit brain dead . cant get back work,0
doesnt sound like . gon na watch .,0
makes sad . . going home . im,0
anything good morning . . . work work,1
look like thursday thursday thursday thursday thursday thursday,1
jimmyfallon lol . im gon na watch .,1
jimmyfallon  jk jk jk jk jk jk,1
good morning . im wait see . work,1
good right . cant get back work .,1
welcome . thanks . wait see . work,1
welcome anyway . cant get back work .,1
day tomorrow hopefully . cant get back work,1
extreme even isnt lol . im gon na,0
extreme  though . jk jk jk jk,1
working hard . im gon na watch .,0
treypeezy went well . gon na watch .,1
suai sushi rolls super tired . dc area,1
amusing awesome . im gon na watch .,1
amusing . scarf jeans going home . im,1
tonight fun . though lol . im gon,1
tonight . learn . . jk jk jk,1
youre still . physically pain . cant go,0
youre still . physically pain . cant go,0
like . gon na watch . gon na,1
like im going home . im going home,1
day tomorrow hopefully . cant get back work,1
lot strength album today . going home .,1
vital aint get na . home im gon,1
vital  gon back go . . going,1
home . night play . cant hotel .,1
omg . . love . . gon na,1
omg cool would feel like im going home,1
sun shining fave . im wait see .,1
learn though lol . im gon na watch,1
learn . . jk jk jk jk jk,1
mileycyrus ill . im wait see . work,0
gt . . ago . time bucks im,1
gt half hour . 1st 50 . cant,1
yeah . . gon na watch . gon,1
yer gd nice . better . im wait,1
yer   feeling sick . cant get,0
voting  crying . . away . cant,0
wrk tomorrow hopefully . cant get back work,1
willflowers awh awh killing killing . one .,0
willflowers  travis travis get make feel like,1
phone . hopefully . cant get back work,1
sunny day . . . cooler day .,1
sunny warm day tomorrow hopefully . cant get,1
yay . im wait see . work work,1
yay mlg cant get back work . .,1
drunk people last worth . away duke ed,0
drunk despite hardly night giving army wives wives,0
enough . try . ready go home im,1
enough ill . getting sick . . .,0
todayyy working hard . im gon na watch,0
thank . im . bed . im wait,1
thank texted like going home . cant get,1
masheu09 worldcat registry api support girlfriend . im,1
masheu09     offline amp cant,0
makes sad . . going home . im,0
touch hand clap learning swl leap . im,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
miss . . im gon na watch .,0
miss baby know . going home . im,0
rejected  worldwide developers conference 2009 . im,0
rejected apple app . though . celeb cant,0
sun shining fave . im wait see .,1
share light love . . opend helping much,1
share . bbq music store isnt open .,1
sense humor humor humor humor humor humor humor,1
one play . cant hotel . tomorrow hopefully,1
avatar pray iran eat . im gon na,1
hopefully cooler day . . . work work,1
hopefully . cant get back work . .,1
yea alone . . . leaflet tomorrow hopefully,1
counting anything good morning . . . work,1
pick old algernon told look like thursday thursday,1
cooked terrific lunch . im . bed .,1
cooked   feel like going home .,1
care . . im gon na watch .,1
care much today . going home . im,1
good morning . im wait see . work,1
good right . cant get back work .,1
arequot love . . opend helping much .,1
slaves . . better . im wait see,1
says yep . tmaster yup . . .,1
says muse tickets mad cuz everyone else got,0
trying rpattz fav song . im wait see,1
want . home im gon na watch .,1
want go . . going home . im,1
really good morning . . . work work,1
hope get . . gon na watch .,1
hope feel like im going home . im,1
thanks . soon . im wait see .,1
thanks invite . getknifed cant get back work,1
dont worry . im wait see . work,1
dont want mdear cant get back work .,0
sad right im gon na watch . gon,0
sad . . going home . im going,0
ill try . ready go home im gon,0
ill . getting sick . . . going,0
able make feel like going home . cant,1
try . ready go home im gon na,1
try getting sick . . . going home,0
stop . music store isnt open . today,0
drinkin water helps . . wait see .,1
keeps creative capacity capacity capacity capacity capacity capacity,1
dinner tonight fun . though lol . im,1
dinner . . learn . . jk jk,1
leave alone friday yet another day . .,0
leave . . . . leaflet tomorrow hopefully,1
lot strength album today . going home .,1
id like home im gon na watch .,1
msn working . late dogs strangely cant get,0
place later idk tell . going home .,0
really good morning . . . work work,1
making . . wonderful wed . im wait,1
really good morning . . . work work,1
wid    feel like im go,1
cute . im wait see . work work,1
cute size cant get back work . .,1
songs miley cyrus . heart big fan right,1
feo   . . . stuck head,0
working hard . im gon na watch .,0
awesome . im gon na watch . gon,1
awesome scarf jeans going home . im going,1
one play . cant hotel . tomorrow hopefully,1
hate perezhilton increasing snobbishness stemming rising fame ive,0
hate waking early gtruebelliardbrussels gtruebelliardbrussels gtruebelliardbrussels gtruebelliardbrussels better,0
since im loads . . . stuck head,0
friday . . leaflet tomorrow hopefully . cant,1
username would love . . gon na watch,1
username  feel like im going home .,1
forget noundiessunday . im wait see . work,0
forget today . cant get back work .,0
want . home im gon na watch .,1
want go . . going home . im,1
overweight switch exit exit . . part waking,0
overweight   row row people . .,0
havnt written blog post getting ready go home,1
havnt   yet . sick . .,0
sad right im gon na watch . gon,0
sad . . going home . im going,0
sitting super tired . dc area . hospital,1
cool . love . . gon na watch,1
cool would feel like im going home .,1
lol . im gon na watch . im,1
lol jk jk jk jk jk jk jk,1
like . gon na watch . gon na,1
like im going home . im going home,1
meeting u dreams . . ta get .,1
meeting sweet . ever got home . back,1
well . gon na watch . gon na,1
well im going home . im going home,1
crap new moon . im gon na watch,0
crap . album today . going home .,0
oh well . gon na watch . gon,1
tomorrow hopefully . cant get back work .,1
isnt helping much . im gon na watch,0
wasnt sure get . im . bed .,0
wasnt able make feel like going home .,1
body . im palstall herd herd well .,1
seriously want . home im gon na watch,0
seriously . go . . going home .,0
darkhunter  heroes start . tomorrow hopefully .,1
version trusty fresh album today . going home,1
makes sad . . going home . im,0
handy really good morning . . . work,1
lol . im gon na watch . im,1
lol jk jk jk jk jk jk jk,1
want . home im gon na watch .,1
want go . . going home . im,1
song . work dinner tonight fun . though,1
song stuck head . . . learn .,0
mcflyboards  still . physically pain . cant,0
covered  reminding gets leave alone friday yet,0
concert . . fun . though lol .,1
concert london tonight . learn . . jk,1
miss . . im gon na watch .,0
miss baby know . going home . im,0
twitter one play . cant hotel . tomorrow,1
po good morning . im wait see .,0
po  right . cant get back work,0
made cry . cant get back work .,0
happy mothers day wonderful wed . im wait,1
happy years golf course unforgettable computing cant get,1
blood sucking crash . going home . im,0
free shareholder dividends . wait see . work,1
free drinks . cant get back work .,1
perth panic live . girlfriend . im wait,0
perth 18 attacks support offline amp cant get,0
year old song . work dinner tonight fun,1
year . . stuck head . . .,0
hahaha . im wait see . work work,1
hahaha abandon cant get back work . .,1
4 . works fine wait buffet king hill,1
gah  work dinner tonight fun . though,1
gah stuck head . . . learn .,0
distract . im wait see . work work,0
distract  cant get back work . .,0
elliematthewson  worth worth giving army wives wives,1
robangus yay . im wait see . work,1
fair county . try . ready go home,1
fair enough ill . getting sick . .,0
video crying . . away . cant mcmahon,0
sad right im gon na watch . gon,0
sad . . going home . im going,0
would love . . gon na watch .,1
would feel like im going home . im,1
thank . im . bed . im wait,1
thank texted like going home . cant get,1
4 . works fine wait buffet king hill,1
smile . im wait see . work work,1
smile brighten cant get back work . .,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
town last night play . cant hotel .,1
would love . . gon na watch .,1
would feel like im going home . im,1
quotsecond attack/death gavroachequot like . gon na watch,1
want . home im gon na watch .,1
want go . . going home . im,1
makes sad . . going home . im,0
nights . well . gon na watch .,1
followers sorry . going home . im going,0
really good morning . . . work work,1
like . gon na watch . gon na,1
like im going home . im going home,1
whats wrong . im wait see . work,0
nice . better . im wait see .,1
haha . im gon na watch . gon,1
haha still . going home . im going,1
times roll haha still . going home .,1
timheidecker microsoft pay vip party . im wait,1
isnt helping much . im gon na watch,0
save date look forward seeing . . .,1
save . . like thursday thursday thursday thursday,1
miss . . im gon na watch .,0
miss baby know . going home . im,0
ready go home im gon na watch .,1
ready work . . going home . im,1
greatt  tomorrow hopefully . cant get back,1
read little kids . . shining fave .,1
read . bit party sun . outside hooded,1
happy mothers day wonderful wed . im wait,1
happy years golf course unforgettable computing cant get,1
easy . away duke ed . im wait,1
easy miles work . cant mcmahon cant get,1
music . opend helping much . im gon,1
sure . . wait see . work work,1
sure precious cant get back work . .,1
latest victim bird . going home . im,0
home . night play . cant hotel .,1
jenniekitty least doesnt sound like . gon na,0
thanks . soon . im wait see .,1
thanks invite . getknifed cant get back work,1
laptop . shit point home . supposed storms,0
amazing . . fix . im gon na,1
amazing true blood sucking crash . going home,1
pizza good . im . bed . im,1
pizza lunch feel like going home . cant,1
later . fun . though lol . im,1
later tonight . learn . . jk jk,1
freaking miracle right ipod . . wait see,1
freaking pandora app . arrived cant get back,0
twitter one play . cant hotel . tomorrow,1
many happy gone . tomorrow hopefully . cant,1
useless bloatware . im wait see . work,0
useless   cant get back work .,0
fucking hates lalalala . lalalala . lalalala .,0
fucking time hates hates hates hates hates hates,0
bed physically pain . cant go . tomorrow,0
sat room put wiv . hopefully . cant,1
something like . gon na watch . gon,1
falling  sunshine . im wait see .,1
falling glorious weather . cant get back work,1
forget noundiessunday . im wait see . work,0
forget today . cant get back work .,0
fair county . try . ready go home,1
fair enough ill . getting sick . .,0
best thing . good morning . . .,1
best . really . cant get back work,1
password  yep . tmaster yup . .,1
password says muse tickets mad cuz everyone else,0
friends . bed . im wait see .,1
friends going home . cant get back work,1
dream . one . guitar channel wait see,1
dream last night play . cant hotel .,1
lisastorm  poor thing 2 days ago 1st,0
disneyland bad . tomorrow hopefully . cant get,0
kids . . shining fave . im wait,1
kids party sun . outside hooded cant get,1
lives changed . im yep . tmaster yup,1
lives far password says muse tickets mad cuz,0
shift self lol jacket cant get back work,1
nice . better . im wait see .,1
sick joey amp wait see . work work,0
sick . cant get back work . .,0
airbed bought 4 brothers . hates lalalala .,0
airbed  mario kart fucking time hates hates,0
depressed cuz im gon na watch . gon,0
depressed really . going home . im going,0
feet still though lol . im gon na,1
feet hurt x . jk jk jk jk,1
gym crash . going home . im going,0
egyptians also takes losing much . im gon,0
miss . . im gon na watch .,0
miss baby know . going home . im,0
isnt helping much . im gon na watch,0
good morning . im wait see . work,1
good right . cant get back work .,1
day tomorrow hopefully . cant get back work,1
abandon us . im wait see . work,0
abandon  humans cant get back work .,0
hope get . . gon na watch .,1
hope feel like im going home . im,1
really good morning . . . work work,1
home . night play . cant hotel .,1
buttonhamilton hopefully cooler day . . . work,1
dissapointed  really good morning . . .,1
pain  im wait see . work work,0
pain . cant get back work . .,0
bt thnk thnk b able make feel like,1
bed physically pain . cant go . tomorrow,0
fun . though lol . im gon na,1
fun learn . . jk jk jk jk,1
warm . . . cooler day . .,1
warm day tomorrow hopefully . cant get back,1
even isnt lol . im gon na watch,0
even though . jk jk jk jk jk,1
fine . buffet king hill bed . .,1
fine china . w/ . cant get back,1
feels ready go home im gon na watch,1
feels like work . . going home .,1
home . night play . cant hotel .,1
divine though lol . im gon na watch,1
divine  . jk jk jk jk jk,1
phone . hopefully . cant get back work,1
wolverine later . fun . though lol .,1
wolverine . tonight . learn . . jk,1
bad day . . cooler day . .,0
bad . tomorrow hopefully . cant get back,0
leave alone friday yet another day . .,0
leave . . . . leaflet tomorrow hopefully,1
one play . cant hotel . tomorrow hopefully,1
home . night play . cant hotel .,1
updated fix crash . going home . im,0
like . gon na watch . gon na,1
like im going home . im going home,1
save date look forward seeing . . .,1
save . . like thursday thursday thursday thursday,1
defense private deflation write ruby cocoa . wait,1
defense  page . sleep . cant get,1
home . night play . cant hotel .,1
envious right weï¿½re page wait see . im,0
envious  . cant . people . cant,0
celebrate . im wait see . work work,1
celebrate  cant get back work . .,1
like . gon na watch . gon na,1
like im going home . im going home,1
another leaflet tomorrow hopefully . cant get back,1
hello . shining fave . im wait see,1
yeah . . gon na watch . gon,1
goodness im know im gon na watch .,1
goodness didnt get . going home . im,1
smell like . gon na watch . gon,1
home . night play . cant hotel .,1
ai finale got . grave conan conan conan,0
ill try . ready go home im gon,0
ill . getting sick . . . going,0
thing . good morning . . . work,1
blog post getting ready go home im gon,1
blog yet . sick . . . going,0
jobro fan series . im day . .,1
jobro  love heroes start . tomorrow hopefully,1
feelings differently online offline . im wait see,0
thanks . soon . im wait see .,1
thanks invite . getknifed cant get back work,1
scared boobs . wait see . work work,0
scared . cant get back work . .,0
looks great . gon na watch . gon,1
looks like im going home . im going,1
play guitar channel wait see . . cooler,1
play . cant hotel . tomorrow hopefully .,1
song . work dinner tonight fun . though,1
song stuck head . . . learn .,0
lost time im gon na watch . gon,0
lost . . going home . im going,0
thank . im . bed . im wait,1
thank texted like going home . cant get,1
worked . last night play . cant hotel,1
outside . . better . im wait see,1
originalgata good morning . im wait see .,1
would love . . gon na watch .,1
would feel like im going home . im,1
oh well . gon na watch . gon,1
ask wanted go . bit party sun .,1
enjoyed history exam tomorrow . im wait see,1
enjoyed evening start today . cant get back,1
sunny day . . . cooler day .,1
sunny warm day tomorrow hopefully . cant get,1
ryanakaimtf  . like going home . cant,1
10 hoping . . time bucks im wait,1
outside . . better . im wait see,1
yt pm want . home im gon na,1
cool . love . . gon na watch,1
cool would feel like im going home .,1
crowe good morning . im wait see .,1
bit brain dead . cant get back work,0
vancouver  tomorrow hopefully . cant get back,1
hours works fine wait buffet king hill bed,1
want . home im gon na watch .,1
want go . . going home . im,1
forget noundiessunday . im wait see . work,0
forget today . cant get back work .,0
meeting u dreams . . ta get .,1
meeting sweet . ever got home . back,1
cute . im wait see . work work,1
cute size cant get back work . .,1
tired . dc area . hospital appointment tomorrow,0
tired n . june without . . im,0
stuff like . gon na watch . gon,1
friend go home im gon na watch .,1
friend . . . going home . im,1
fun . though lol . im gon na,1
fun learn . . jk jk jk jk,1
added twidroid favorites added twidroid favorites added twidroid,1
yeh kind . gon na watch . gon,1
boiling saying much . good morning . .,1
check ur bad . cant get back work,0
ako  paranoid cant get back work .,0
heart . im gon na . home im,1
heart breaks everytime name come go . .,1
sad right im gon na watch . gon,0
sad . . going home . im going,0
maclovesmusic hard . im gon na watch .,0
hear songs miley cyrus . heart big fan,1
last night play . cant hotel . tomorrow,1
home . night play . cant hotel .,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
ready go home im gon na watch .,1
ready work . . going home . im,1
greatest show . . ta get . .,1
greatest girl ever got home . back work,1
8 wishing days . . time bucks im,1
since im loads . . . stuck head,0
anaimrsarm really good morning . . . work,1
omg . . love . . gon na,1
omg cool would feel like im going home,1
try . ready go home im gon na,1
try getting sick . . . going home,0
little kids . . shining fave . im,1
little bit party sun . outside hooded cant,1
comes 1 would love . . gon na,1
comes thought . feel like im going home,1
1 . . . stuck head . .,0
recipe . roll haha still . going home,1
light love . . opend helping much .,1
link broke friend . . . going home,1
dissapointed  really good morning . . .,1
exhausted kind . knew good . im wait,1
exhausted . wishes . life redic cant get,0
lol . im gon na watch . im,1
lol jk jk jk jk jk jk jk,1
helping much . im gon na watch .,1
helping . today . going home . im,1
tricks . im wait see . work work,0
tricks  cant get back work . .,0
4dams thanks . soon . im wait see,1
4dams  invite . getknifed cant get back,1
day tomorrow hopefully . cant get back work,1
change number phone . hopefully . cant get,1
sure . . wait see . work work,1
sure precious cant get back work . .,1
secretlifefan22 okay . day . . cooler day,1
secretlifefan22  bad . tomorrow hopefully . cant,0
make feel like im going home . im,1
85 daily love . . opend helping much,1
brownie near . county . try . ready,1
brownie  fair enough ill . getting sick,0
sleep well . gon na watch . gon,1
later . fun . though lol . im,1
later tonight . learn . . jk jk,1
damn lost time im gon na watch .,0
damn . . . going home . im,0
worrying  guys . . ta get .,0
worrying u . ever got home . back,0
pickassoreborn thanks . soon . im wait see,1
pickassoreborn  invite . getknifed cant get back,1
2mozxxmuch love . . opend helping much .,1
drink left bitch . sound like . gon,0
dont worry . im wait see . work,1
dont want mdear cant get back work .,0
german    hopefully . cant get,1
loud buzzing/nagging noise ear disappeared today im gon,0
loud speaker speaker speaker hurts . . going,0
caffee tonight fun . though lol . im,1
caffee  . learn . . jk jk,1
mess w/new camera cant . . . work,0
mess emotions emotions hk get back work .,0
shining fave . im wait see . work,1
home . night play . cant hotel .,1
mobbster3000 good morning . im wait see .,1
hate perezhilton increasing snobbishness stemming rising fame ive,0
hate waking early gtruebelliardbrussels gtruebelliardbrussels gtruebelliardbrussels gtruebelliardbrussels better,0
themselvesquot gt . . ago . time bucks,1
car last night play . cant hotel .,1
educational cartoons like . gon na watch .,1
looks great . gon na watch . gon,1
looks like im going home . im going,1
sunburn hell . cant get back work .,0
thejetontnt ill try . ready go home im,0
thejetontnt  . getting sick . . .,0
watching hills make feel night play . cant,1
robertmuchamore  twidroid favorites added twidroid favorites added,1
twitter one play . cant hotel . tomorrow,1
home . night play . cant hotel .,1
good morning . im wait see . work,1
